ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787208053656,5d43fac97e62ba2bae19f935,,王文英,都市,,2004-12,上海人民出版社,书籍,上海都市文化空间分析,,城市语境与大众文化,17.00,平装,6.2,13.0,,234
9787802209664,5d43fac97e62ba2bae19f936,都市风水师,听叶,都市,,2010-12-1,中国画报出版社,书籍,,,都市风水师3,39.80元,平装,7.3,32.0,,496
9787539140612,5d43fac97e62ba2bae19f937,,艾伦·爱尔金,都市,,2008-03,二十一世纪出版社,书籍,52个让你放松心灵的SPA,,都市，深呼吸,19.80元,双色清雅插画,7.5,20.0,熊思婷,176
9787545816822,5d43fac97e62ba2bae19f938,,张真,都市,,2019-1-1,上海书店出版社,书籍,都市文化与上海电影,,银幕艳史,78.00元,精装,,,沙丹,613
9787546348742,5d43fac97e62ba2bae19f939,,【美】克利福德•比尔斯,都市,,2011-5,吉林出版集团有限责任公司,书籍,都市身心灵经典读本,AMindthatFoundItself,一颗找回自我的心,26.00元,平装,7.7,41.0,王丽,199
9787560846675,5d43faca7e62ba2bae19f93a,,张屏瑾,都市,,2011-9,同济大学出版社,书籍,都市经验与先锋美学,,摩登·革命,29.00元,,8.1,13.0,,258
9789867009319,5d43faca7e62ba2bae19f93b,,阮庆岳,都市,,20080131,田園城市,书籍,東亞都市地景的30種閱讀術,,建築師的關鍵字,400台币,,7.1,22.0,,272
9787532728923,5d43faca7e62ba2bae19f93c,日本女作家都市小说系列,,都市,,2002-6-1,上海译文出版社,书籍,日本女作家都市小说系列,,把时光染成蓝色,12.00,精装(无盘),7.3,51.0,徐静波,194
9787114106538,5d43faca7e62ba2bae19f93d,,刘龙胜,都市,,2013-8-1,人民交通出版社,书籍,东京都市圈城市和交通研究,,轨道上的世界,CNY68.00,平装,7.7,21.0,,343
9787512502130,5d43faca7e62ba2bae19f93e,流光系列,长着翅膀的大灰狼,都市,,2011-7,国际文化出版公司,书籍,,,听说姻缘命中注定,28.00元,精装,7.4,2409.0,,248
9787508651842,5d43faca7e62ba2bae19f93f,,,都市,,2015-7-20,中信出版集团,书籍,都市单身女子情感口述实录,,来者不惧，去者不留,,平装,8.2,43.0,,384
9787544727792,5d43faca7e62ba2bae19f940,人文与社会译丛,[美]戴安娜·克兰,都市,,2012-6,译林出版社,书籍,媒体与都市艺术,TheProductionofCuluctionofCulture,文化生产,29.00元,平装,6.5,32.0,赵国新,204
9787542623348,5d43facb7e62ba2bae19f941,都市文化研究丛书,孙逊,都市,,2006-8,上海三联书店,书籍,(第2辑),,都市帝国与先知,38.00元,平装,7.1,23.0,,355
9787546105574,5d43facb7e62ba2bae19f942,,,都市,,2009-12,黄山书社,书籍,,,怪你过分美丽,26.80元,精装,7.4,3232.0,,311
9787535555021,5d43facb7e62ba2bae19f943,,,都市,,2008.6,湖南教育出版社,书籍,一个都市男人回归自我的行迹,,昌都记事,29.00元,胶装,7.5,49.0,,164
9787549103652,5d43facb7e62ba2bae19f944,南方人文丛书,南方都市报,都市,,2012-1,南方日报出版社,书籍,大时代中的我们,,十人,25.00元,平装,7.3,282.0,,234
9787510436741,5d43facb7e62ba2bae19f945,匪我思存作品,,都市,,2013-1,新世界出版社,书籍,,,爱情的开关,28.00元,平装,6.1,2491.0,,246
