_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43ed7851eceec5c308515b,Angsi昂司,500-2000人,数据分析,2019-07-25,深圳,本科,数据分析师,年轻又耐撕 新零售,经验3-5年,15k-25k,未融资,"电商,消费生活",4
5d43ed7951eceec5c308515c,途径信息,50-150人,数据分析,2019-08-0210:16:00,深圳,本科,数据分析,工作环境好，技术先进,经验1-3年,10k-13k,A轮,移动互联网,4
5d43ed7951eceec5c308515d,立创商城,150-500人,数据分析,2019-08-01,深圳,本科,数据分析师（商品方向）,"五险一金,周末双休,水果下午茶",经验3-5年,15k-25k,A轮,"电商,硬件",4
5d43ed7951eceec5c308515e,爱问科技,150-500人,数据分析,2019-08-0214:31:00,深圳,本科,数据分析师（ AW),五险一金 年终福利 带薪年假 员工旅游,经验1-3年,12k-15k,不需要融资,"移动互联网,社交",4
5d43ed7951eceec5c308515f,海致,150-500人,数据分析,2019-07-16,深圳,本科,数据分析师,金融大数据 独角兽 有期权,经验3-5年,15k-25k,C轮,"移动互联网,企业服务",4
5d43ed7951eceec5c3085160,迅雷,500-2000人,数据分析,2019-07-30,深圳,本科,数据分析,大流量平台,经验3-5年,15k-30k,上市公司,工具,4
5d43ed7a51eceec5c3085161,YIDATEC,2000人以上,数据分析,2019-07-30,深圳,不限,数据分析,顶尖的项目团队可以让你得到快速成长,经验1-3年,7k-9k,不需要融资,"移动互联网,游戏",5
5d43ed7b51eceec5c3085162,一面数据,50-150人,数据分析,2019-08-0210:26:00,深圳,本科,数据分析师（汽车行业）,大数据人工智能；名校系大牛；技术氛围浓,经验不限,8k-15k,A轮,"移动互联网,数据服务",6
5d43ed7b51eceec5c3085163,AKULAKU,500-2000人,数据分析,2019-08-0211:52:00,深圳,不限,数据分析师（信贷业务）,跨国合作 行业前景 融资并购,经验3-5年,15k-25k,D轮及以上,"移动互联网,金融",6
5d43ed7b51eceec5c3085164,即有分期,500-2000人,数据分析,2019-08-0215:15:00,深圳,本科,数据分析师（经营管理）,弹性上班 多多年假 新业务发展多,经验1-3年,8k-15k,D轮及以上,金融,6
5d43ed7b51eceec5c3085165,海南新浪爱问普惠科技有限公司,500-2000人,数据分析,2019-08-0211:25:00,深圳,本科,数据分析师（策略方向）,扁平 老板好 职位空间大 福利多,经验3-5年,18k-30k,未融资,金融,6
5d43ed7b51eceec5c3085166,美利金融,2000人以上,数据分析,2019-08-0211:10:00,深圳,本科,数据分析师,平台大，薪资高,经验3-5年,15k-25k,B轮,金融,6
5d43ed7c51eceec5c3085167,吉比特,500-2000人,数据分析,2019-08-01,深圳,本科,数据分析师,福利待遇好；上市公司；发展机会多,经验不限,15k-20k,上市公司,游戏,6
5d43ed7c51eceec5c3085168,懒人科技,50-150人,数据分析,2019-08-01,深圳,本科,数据分析师,朝阳行业,经验1-3年,8k-15k,不需要融资,移动互联网,6
5d43ed7c51eceec5c3085169,金銮羊羊,50-150人,数据分析,2019-08-0208:46:00,深圳,本科,数据分析师,五险一金，周末双休，下午茶，员工旅游,经验1-3年,15k-20k,未融资,移动互联网,6
