_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业
5d43ea9651eceec5c30850c8,驰骛科技ChiefClouds,50-150人,数据分析,2019-08-0211:03:00,上海,本科,商业数据分析师,体检 员工餐 不打卡 地铁周边,经验3-5年,18k-36k,A轮,"数据服务,移动互联网"
5d43ea9651eceec5c30850c9,平安健康互联网,2000人以上,数据分析,2019-08-01,上海,本科,数据分析经理,500强平台 互联网医疗独角兽,经验5-10年,21k-35k,上市公司,"移动互联网,医疗丨健康"
5d43ea9651eceec5c30850ca,PINTEC,150-500人,数据分析,2019-07-31,上海,本科,数据分析实习生,"弹性工作,六险一金,补充医疗,带薪休假",经验应届毕业生,3k-5k,上市公司,"移动互联网,金融"
5d43ea9751eceec5c30850cb,沐睦网络,50-150人,数据分析,2019-07-29,上海,大专,游戏数据分析师,"扁平化,领导好,团队氛围好",经验1-3年,6k-12k,不需要融资,游戏
5d43ea9751eceec5c30850cc,度小满金融,500-2000人,数据分析,2019-07-26,上海,本科,商业数据分析,福利待遇 发展空间 团队氛围,经验5-10年,25k-50k,A轮,金融
5d43ea9751eceec5c30850cd,籁恩电商,15-50人,数据分析,2019-07-29,上海,本科,数据分析师,周末双休 和谐气氛 五险一金,经验1-3年,6k-10k,未融资,电商
5d43ea9751eceec5c30850ce,上海米哈游,500-2000人,数据分析,2019-08-01,上海,本科,游戏数据分析师（海外）,"六险一金,年度旅游,带薪休假,扁平化",经验3-5年,15k-30k,不需要融资,"移动互联网,游戏"
5d43ea9751eceec5c30850cf,上海银行信用卡中心,2000人以上,数据分析,2019-07-31,上海,本科,数据分析师,"正式编制,餐补车贴,带薪年假,八险一金",经验3-5年,15k-18k,不需要融资,金融
5d43ea9751eceec5c30850d0,一面数据,50-150人,数据分析,2019-08-0210:26:00,上海,本科,数据分析师(商业方向，中高级,大数据人工智能；名校系大牛；技术氛围浓,经验1-3年,10k-20k,A轮,"移动互联网,数据服务"
5d43ea9851eceec5c30850d1,乐麦信息技术（杭州）有限公司,500-2000人,数据分析,2019-07-31,上海,本科,数据分析师（实习生）,周末双休、节日福利,经验应届毕业生,1k-2k,不需要融资,电商
5d43ea9851eceec5c30850d2,永诚保险,2000人以上,数据分析,2019-07-23,上海,本科,数据分析岗,带薪年假/定期体检/餐补/交通通讯补助/,经验5-10年,10k-20k,上市公司,"金融,移动互联网"
5d43ea9851eceec5c30850d3,阿里巴巴-新零售技术事业群,2000人以上,数据分析,2019-08-01,上海,不限,数据分析师,"阿里巴巴，完善福利,技术导向",经验应届毕业生,25k-40k,上市公司,电商
5d43ea9851eceec5c30850d4,海万科技,500-2000人,数据分析,2019-07-30,上海,本科,可视化数据分析,五险一金　　　年终奖　　　体检旅游　　　,经验1-3年,6k-8k,不需要融资,"移动互联网,金融"
5d43ea9851eceec5c30850d5,晨哨网,15-50人,数据分析,2019-07-31,上海,本科,数据分析师,-----全员期权 骨干股权-----,经验3-5年,15k-25k,天使轮,金融
5d43ea9851eceec5c30850d6,携程,2000人以上,数据分析,2019-07-23,上海,本科,市场数据分析师,"国际业务,平台大",经验1-3年,10k-15k,上市公司,旅游
5d43ea9a51eceec5c30850d7,上海米哈游,500-2000人,数据分析,2019-08-01,上海,本科,游戏数据分析,"扁平化,知名项目,年底多薪,六险一金",经验1-3年,20k-40k,不需要融资,"移动互联网,游戏"
5d43ea9a51eceec5c30850d8,电视猫MoreTV,150-500人,数据分析,2019-07-23,上海,本科,数据分析产品经理,团队氛围好，快速成长,经验3-5年,18k-25k,B轮,"移动互联网,硬件"
5d43ea9a51eceec5c30850d9,上海寰易,150-500人,数据分析,2019-07-08,上海,本科,数据分析师,亿级数据 大牛指导,经验1年以下,10k-15k,上市公司,"金融,企业服务"
