_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43fb2b7e62ba2bae19f9c3,好未来,2000人以上,数据挖掘,2019-07-25,北京,硕士,AI Lab-数据挖掘算法工程师,六险一金、年底双薪。提供晚餐、弹性工作,经验3-5年,20k-40k,上市公司,教育,8
5d43fb2b7e62ba2bae19f9c4,北京左医科技有限公司,15-50人,数据挖掘,2019-08-0209:51:00,北京,本科,自然语言处理 \机器学习\数据挖掘工程师要医疗背景,"技术大牛,15.5薪,七险一金",经验3-5年,25k-35k,A轮,"移动互联网,医疗丨健康",8
5d43fb2b7e62ba2bae19f9c5,阅文集团,500-2000人,数据挖掘,2019-08-0211:50:00,北京,本科,数据挖掘实习生,大平台，福利好，领导nice,经验不限,2k-4k,上市公司,文娱丨内容,8
5d43fb2b7e62ba2bae19f9c6,墨宽投资,15-50人,数据挖掘,2019-07-30,北京,不限,数据挖掘,有竞争力薪资福利，不设上限 看个人能力,经验应届毕业生,10k-20k,不需要融资,金融,8
5d43fb2c7e62ba2bae19f9c7,美菜网,2000人以上,数据挖掘,2019-07-26,北京,本科,算法工程师/专家-数据挖掘方向(J13716),弹性工作 发展空间大 股票期权,经验5-10年,30k-60k,D轮及以上,电商,8
5d43fb2c7e62ba2bae19f9c8,动信通科技,50-150人,数据挖掘,2019-08-0216:24:00,北京,硕士,数据挖掘实习生（2020届硕士落户人才储备),周末双休、交通补、员工食堂、多重补助,经验应届毕业生,3k-4k,A轮,"移动互联网,游戏",8
5d43fb2c7e62ba2bae19f9c9,字节跳动,2000人以上,数据挖掘,2019-08-01,北京,本科,数据挖掘工程师-用户产品方向,六险一金，弹性工作，免费三餐，租房补贴,经验1-3年,20k-35k,C轮,文娱丨内容,9
5d43fb2c7e62ba2bae19f9ca,百度,2000人以上,数据挖掘,2019-07-24,北京,本科,机器学习/数据挖掘工程师,年底双薪，带薪年假，专人培养，技术氛围好,经验1-3年,15k-30k,不需要融资,工具,9
5d43fb2c7e62ba2bae19f9cb,滴滴,2000人以上,数据挖掘,2019-08-0211:22:00,北京,本科,资深数据挖掘工程师/专家/高级专家,发展前景、技术成长、福利待遇,经验3-5年,30k-60k,不需要融资,汽车丨出行,9
5d43fb2c7e62ba2bae19f9cc,美团点评,2000人以上,数据挖掘,2019-08-01,北京,硕士,智能-数据挖掘算法,上市公司 大牛云集 核心部门,经验3-5年,30k-50k,上市公司,消费生活,9
5d43fb2d7e62ba2bae19f9cd,数美,150-500人,数据挖掘,2019-07-31,北京,本科,数据挖掘（校招）,"快速发展,人工智能,大数据,待遇好",经验应届毕业生,15k-25k,B轮,"企业服务,数据服务",9
5d43fb2d7e62ba2bae19f9ce,爱奇艺,2000人以上,数据挖掘,2019-07-10,北京,本科,/资深数据挖掘工程师,12天年假、六险一金,经验5-10年,25k-40k,上市公司,文娱丨内容,9
5d43fb2d7e62ba2bae19f9cf,360,2000人以上,数据挖掘,2019-08-0211:27:00,北京,本科,数据挖掘工程师,平台大，业务发展迅速，技术氛围浓厚,经验3-5年,16k-30k,上市公司,信息安全,9
5d43fb2d7e62ba2bae19f9d0,字节跳动,2000人以上,数据挖掘,2019-08-01,北京,本科,数据挖掘工程师-增长策略方向,六险一金，弹性工作，免费三餐，租房补贴,经验3-5年,30k-60k,C轮,文娱丨内容,10
5d43fb2e7e62ba2bae19f9d1,美团点评,2000人以上,数据挖掘,2019-07-29,北京,本科,闪购-数据挖掘技术专家,新业务，发展空间大,经验5-10年,30k-60k,上市公司,消费生活,10
5d43fb2e7e62ba2bae19f9d2,360,2000人以上,数据挖掘,2019-08-01,北京,本科,资深数据挖掘专家,"成长快,大平台",经验5-10年,30k-60k,上市公司,信息安全,10
5d43fb2e7e62ba2bae19f9d3,京东数字科技,2000人以上,数据挖掘,2019-08-0209:45:00,北京,本科,算法工程师-数据挖掘-L00171,"班车,餐补",经验3-5年,23k-46k,上市公司,金融,10
5d43fb2e7e62ba2bae19f9d4,OPPO,2000人以上,数据挖掘,2019-08-0214:31:00,北京,本科,搜索数据挖掘高级研发工程师2378,"弹性工作,股票期权,奖金丰厚,福利待遇好",经验3-5年,25k-50k,不需要融资,硬件,10
5d43fb2e7e62ba2bae19f9d5,一亩田,150-500人,数据挖掘,2019-08-01,北京,本科,数据挖掘实习生,年终奖 五险一金 团建 期权,经验应届毕业生,6k-10k,C轮,"移动互联网,电商",10
5d43fb2e7e62ba2bae19f9d6,阅文集团,500-2000人,数据挖掘,2019-08-0211:50:00,北京,本科,算法/数据挖掘高级工程师,"福利多,环境好,技术大牛多,晋升快",经验3-5年,30k-50k,上市公司,文娱丨内容,10
5d43fb2f7e62ba2bae19f9d7,墨宽投资,15-50人,数据挖掘,2019-07-30,北京,本科,数据挖掘 实习生,提供互联网行业有竞争力薪资福利,经验应届毕业生,4k-8k,不需要融资,金融,10
