_id,cid,关键词,其他信息,发布时间,弹幕,标题
5d3ebc11dd389323d55a10d6,84682646,蔡徐坤,"124.66500,1,25,16777215,1557933954,0,a895ba9e,16143760666132484",2019-04-05 14:11:46,0.5倍才有趣,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d7,84682646,蔡徐坤,"109.13600,1,25,16777215,1557937509,0,a27748c,16145624541954050",2019-04-05 14:11:46,看弹幕我笑了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d8,84682646,蔡徐坤,"111.52900,1,25,16777215,1557967594,0,d5de5f9,16161397691383808",2019-04-05 14:11:46,两倍眨眼观看新世界大门,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d9,84682646,蔡徐坤,"100.59800,1,25,16777215,1557985538,0,ef918f33,16170805575548932",2019-04-05 14:11:46,我居然莫名地笑了～。,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10da,84682646,蔡徐坤,"7.24900,1,25,16777215,1558006488,0,82a0e271,16181789015408644",2019-04-05 14:11:46,我是鬼畜时长两年半的个人练习生蔡徐坤,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10db,84682646,蔡徐坤,"171.95800,1,25,16777215,1558007014,0,97482f80,16182064932978688",2019-04-05 14:11:46,差点就挑战成功了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10dc,84682646,蔡徐坤,"81.36400,1,25,16777215,1558015623,0,ac68063e,16186578358501376",2019-04-05 14:11:46,笑死我对你有好处吗哈哈哈哈哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10dd,84682646,蔡徐坤,"98.28100,4,25,16777215,1558020440,0,ee810428,16189103952887810",2019-04-05 14:11:46,战争机器：她是个傻子吧,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10de,84682646,蔡徐坤,"51.73200,1,25,16777215,1558020849,0,832814f,16189318575423488",2019-04-05 14:11:46,二倍二倍！！,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10df,84682646,蔡徐坤,"73.57300,1,25,16777215,1558021104,0,663bf704,16189452214861826",2019-04-05 14:11:46,0.5，很带劲,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e0,84682646,蔡徐坤,"33.85600,1,25,16777215,1558068407,0,3a3784d9,16214252565561346",2019-04-05 14:11:46,二倍笑抽,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e1,84682646,蔡徐坤,"59.83500,1,25,15138834,1558071265,0,612ccb99,16215750878429188",2019-04-05 14:11:46,我有钱了要买个看视频不卡的手机,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e2,84682646,蔡徐坤,"79.55300,1,25,16777215,1558078639,0,cd52a3f4,16219616976044034",2019-04-05 14:11:46,0，5每一帧都是表情包,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e3,84682646,蔡徐坤,"187.80200,1,25,16777215,1558082241,0,f63c47e3,16221505746632708",2019-04-05 14:11:46,本来没事儿，看多了，结果二倍瞬间忍不住了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e4,84682646,蔡徐坤,"0.96600,5,25,16711680,1562474561,0,c6e9ffda,18524346137444354",2019-04-05 14:11:46,按Enter↵跳跃,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e5,84682646,蔡徐坤,"0.96600,5,25,16711680,1562474583,0,c6e9ffda,18524358004703232",2019-04-05 14:11:46,按空格键投掷篮球,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e6,84682646,蔡徐坤,"0.96600,5,25,16711680,1562474631,0,c6e9ffda,18524383195693058",2019-04-05 14:11:46,按Enter↵+Ctrl发律师函,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e7,84682646,蔡徐坤,"0.96600,5,25,16711680,1562474715,0,c6e9ffda,18524427190272002",2019-04-05 14:11:46,⇦⇨左右移动,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e8,84682646,蔡徐坤,"0.96600,5,25,16711680,1562474820,0,c6e9ffda,18524481802731520",2019-04-05 14:11:46,按F12触发隐藏技能“鸡你太美”,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10e9,84682646,蔡徐坤,"0.96600,5,25,16711680,1562474893,0,c6e9ffda,18524520199487488",2019-04-05 14:11:46,按JNTM变身“公鸡”,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ea,84682646,蔡徐坤,"94.19800,5,25,16711680,1562475099,0,c6e9ffda,18524628114735104",2019-04-05 14:11:46,提示：按Enter↵跳跃,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10eb,84682646,蔡徐坤,"5.88100,1,25,16777215,1562476037,0,ce42b694,18525120226131970",2019-04-05 14:11:46,up主出人命了！我笑死了！,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ec,84682646,蔡徐坤,"69.79000,1,25,16777215,1562476735,0,e3aefa1d,18525485925400580",2019-04-05 14:11:46,笑哭,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ed,84682646,蔡徐坤,"121.49900,1,25,104601,1562482780,0,1764b66e,18528655648489474",2019-04-05 14:11:46,挑战失败,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ee,84682646,蔡徐坤,"49.34600,1,25,16777215,1562485165,0,cd6332ff,18529905671143424",2019-04-05 14:11:46,0.5新世界,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ef,84682646,蔡徐坤,"20.03000,1,25,16777215,1562491658,0,12639e9f,18533309930274816",2019-04-05 14:11:46,我已经笑了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f0,84682646,蔡徐坤,"183.16700,1,25,16777215,1562492469,0,98135b53,18533735043956740",2019-04-05 14:11:46,you computer has poblems you should shutdown,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f1,84682646,蔡徐坤,"26.23800,1,25,16777215,1562493353,0,4c5b68d6,18534198792945668",2019-04-05 14:11:46,鸡你太美,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f2,84682646,蔡徐坤,"59.51100,1,25,16777215,1562493404,0,4c5b68d6,18534225449320448",2019-04-05 14:11:46,2倍观影，极度舒适,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f3,84682646,蔡徐坤,"71.53300,1,25,16777215,1562493415,0,4c5b68d6,18534230949101568",2019-04-05 14:11:46,红红火火恍恍惚惚哈哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f4,84682646,蔡徐坤,"89.03400,1,25,16777215,1562493438,0,4c5b68d6,18534243145089028",2019-04-05 14:11:46,2倍的我已笑死,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f5,84682646,蔡徐坤,"200.35000,1,25,16777215,1562493511,0,4c5b68d6,18534281403957248",2019-04-05 14:11:46,妈妈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f6,84682646,蔡徐坤,"19.96100,1,25,16777215,1562493583,0,4c5b68d6,18534319494004738",2019-04-05 14:11:46,2倍观影,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f7,84682646,蔡徐坤,"189.46000,1,25,16777215,1562493729,0,4c5b68d6,18534395945680900",2019-04-05 14:11:46,你别过来，妈妈呀,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f8,84682646,蔡徐坤,"60.94600,1,25,16777215,1562495589,0,73ec0095,18535370788438016",2019-04-05 14:11:46,刚从2倍速回来试了试0.5倍速,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10f9,84682646,蔡徐坤,"79.62800,1,25,16777215,1562495626,0,73ec0095,18535390320787460",2019-04-05 14:11:46,0.5倍速才是新世界,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10fa,84682646,蔡徐坤,"33.91800,1,25,16777215,1562499136,0,4634cb73,18537230894628864",2019-04-05 14:11:46,我笑了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10fb,84682646,蔡徐坤,"180.49300,1,25,16777215,1562499220,0,4634cb73,18537274921713666",2019-04-05 14:11:46,哈哈哈哈哈肚子疼,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10fc,84682646,蔡徐坤,"36.98100,1,25,16777215,1562500871,0,52f5c1b1,18538140276883456",2019-04-05 14:11:46,挑战失败,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10fd,84682646,蔡徐坤,"49.84100,1,25,16777215,1562500903,0,52f5c1b1,18538156893143042",2019-04-05 14:11:46,这球好烫手,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10fe,84682646,蔡徐坤,"70.26100,1,25,16777215,1562500938,0,52f5c1b1,18538175629623296",2019-04-05 14:11:46,2倍是神仙,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ff,84682646,蔡徐坤,"99.04100,1,25,16777215,1562500991,0,52f5c1b1,18538203268513794",2019-04-05 14:11:46,哈哈哈哈哈受不了了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1100,84682646,蔡徐坤,"163.18100,1,25,16777215,1562501106,0,52f5c1b1,18538263314169860",2019-04-05 14:11:46,不行了啊哈哈哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1101,84682646,蔡徐坤,"177.22100,1,25,16777215,1562501158,0,52f5c1b1,18538290799968258",2019-04-05 14:11:46,当场去世哈哈哈哈哈哈哈哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1102,84682646,蔡徐坤,"187.62100,1,25,16777215,1562501179,0,52f5c1b1,18538301920116800",2019-04-05 14:11:46,内分泌失调,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1103,84682646,蔡徐坤,"98.95900,1,25,16777215,1562503682,0,f5f937dc,18539614243389440",2019-04-05 14:11:46,泉兴太美,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1104,84682646,蔡徐坤,"25.00800,1,25,16777215,1562503836,0,f5f937dc,18539695013101570",2019-04-05 14:11:46,泉兴太美泉兴太美泉兴太美泉兴太美泉兴太美泉兴太美泉兴太美泉兴太美,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1105,84682646,蔡徐坤,"1.87300,5,25,16711680,1562507099,0,c6e9ffda,18541405547790340",2019-04-05 14:11:46,按AIT+空格转身控球,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1106,84682646,蔡徐坤,"1.87300,5,25,16711680,1562507270,0,c6e9ffda,18541495326867456",2019-04-05 14:11:46,按F5后退,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1107,84682646,蔡徐坤,"1.87300,5,25,16711680,1562507307,0,c6e9ffda,18541514450796548",2019-04-05 14:11:46,按F6前进,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1108,84682646,蔡徐坤,"84.10400,5,25,16707842,1562513654,0,2c7b2e65,18544842031235072",2019-04-05 14:11:46,2.0新世界,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1109,84682646,蔡徐坤,"19.64000,1,25,16777215,1562528615,0,9e065f09,18552686257373188",2019-04-05 14:11:46,哈哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a110a,84682646,蔡徐坤,"136.99300,1,25,16777215,1562547265,0,57a29207,18562464153600002",2019-04-05 14:11:46,斗肩狂魔,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a110b,84682646,蔡徐坤,"11.90100,1,25,16777215,1562550169,0,bdfc818c,18563986678611968",2019-04-05 14:11:46,我去？,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a110c,84682646,蔡徐坤,"132.61100,1,25,16777215,1562554342,0,b67e3997,18566174628904960",2019-04-05 14:11:46,2倍开启新世界,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a110d,84682646,蔡徐坤,"118.56800,1,25,16777215,1562556598,0,e782b6d9,18567357215539204",2019-04-05 14:11:46,乌鸦坐飞机,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a110e,84682646,蔡徐坤,"133.67200,1,25,15138834,1562556616,0,e782b6d9,18567366761775108",2019-04-05 14:11:46,乌鸦坐飞机,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a110f,84682646,蔡徐坤,"20.26500,1,25,16777215,1562557320,0,7a4c1c71,18567735769825280",2019-04-05 14:11:46,0.5倍新世界,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1110,84682646,蔡徐坤,"29.02700,1,25,16777215,1562557343,0,2d7af987,18567748087971844",2019-04-05 14:11:46,卡了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1111,84682646,蔡徐坤,"42.43400,1,25,16777215,1562562748,0,82da53f9,18570581868281856",2019-04-05 14:11:46,笑si我了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a1112,84682646,蔡徐坤,"1.60000,1,25,16777215,1562564037,0,a9aa594b,18571257569083392",2019-04-05 14:11:46,前方核能，非战斗人员请撤离,【蔡徐坤】能坚持看完！不笑抽了不算！
