ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787519213527,5d43b31251eceec5c3080150,新空间科幻电影译丛,[英]凯斯•M.约翰斯顿,科幻,,2016-8,世界图书出版公司,书籍,,ScienceFictionFilm：ACriticalIntroduction,科幻电影导论,49.00,平装,8.1,82.0,,247
9787542824035,5d43b31251eceec5c3080151,,约翰·克卢特,科幻,,2003-7,上海科技教育出版社,书籍,,,彩图科幻百科,185.00元,,8.4,78.0,,318
9787536470200,5d43b31251eceec5c3080152,,(美)迪克等,科幻,,2011-11,四川科学技术出版社,书籍,最佳科幻电影蓝本小说选,originalstoriesofclassicsci-fifilms,经典的真身,32.00元,平装,8.8,200.0,,427
9787511317759,5d43b31351eceec5c3080153,王晋康科幻小说精选集,,科幻,,2011-11,中国华侨出版社,书籍,王晋康长篇科幻小说集1,,生命之歌,26.80元,平装,7.0,178.0,,264页
9787229030933,5d43b31351eceec5c3080154,科幻世界·中国科幻基石丛书,刘慈欣,科幻,科幻世界,2010-11,重庆出版社,书籍,死神永生,,三体Ⅲ,38.00元,平装,9.2,168465.0,,513
9787510094934,5d43b31451eceec5c3080155,新空间科幻电影译丛,罗伯特·格兰特(RobertGrant),科幻,,2015-7-1,世界图书出版公司,书籍,,WritingTheScienceFictionFilm,科幻电影写作,CNY48.00,平装,7.3,76.0,谢冰冰,275
9787536474819,5d43b31c51eceec5c3080156,科幻世界·中国科幻基石丛书,,科幻,科幻世界,2012-10,四川科学技术出版社,书籍,中国科幻基石丛书,,湿婆之舞,38.00元,平装,7.5,163.0,,523
9787229038199,5d43b31d51eceec5c3080157,,,科幻,,2011-5,重庆出版社,书籍,中国新生代更新代科幻名家新作选,,星潮,33.90元,平装,7.0,83.0,,316
9787115283238,5d43b31e51eceec5c3080158,中国科幻名家名作大系,何夕,科幻,时光幻象,2012-7,人民邮电出版社,书籍,中国科幻名家名作大系（第一辑）,,何夕卷：爱别离,38.00元,平装,7.8,109.0,,348
9787536460775,5d43b31e51eceec5c3080159,科幻世界·中国科幻基石丛书,拉拉,科幻,科幻世界,2006-11-01,四川科学技术出版社,书籍,拉拉科幻小说选,,绿野,22.00元,简裝本,8.3,292.0,,227
9787537519311,5d43b31e51eceec5c308015a,美国科幻大师詹姆斯·冈恩科幻系列,,科幻,,1999-12-01,河北科学技术出版社,书籍,世界科幻大师丛书26,,快乐制造者,10,,7.7,105.0,孔斌,288
9789624475746,5d43b31e51eceec5c308015b,,,科幻,,2004-7,勤+緣出版社,书籍,衛斯理科幻系列55,,只限老友,HK$45,平装,6.7,110.0,,206
9787537961363,5d43b31e51eceec5c308015c,“奇点”科幻丛书,陈茜,科幻,,2013-1,希望出版社,书籍,“奇点”科幻丛书,,记忆之囚,29.80元,平装,9.3,39.0,,242
9787805146782,5d43b31e51eceec5c308015d,,李名慈,科幻,,1994-12-1,上海远东出版社,书籍,,,凡尔纳科幻故事精选,25.00,精装(无盘),9.1,391.0,,753
9787115284440,5d43b31e51eceec5c308015e,中国科幻名家名作大系,韩松,科幻,时光幻象,2012-7,人民邮电出版社,书籍,中国科幻名家名作大系（第一辑）,,韩松卷：看的恐惧,39.00元,平装,6.8,69.0,,396
9787225013893,5d43b31f51eceec5c308015f,凡尔纳科幻探险小说全集,,科幻,,1997年9月,青海人民出版社,书籍,凡尔纳科幻探险小说全集7,,海底两万里,19.50元,,8.8,136.0,邓月明,
9787536693968,5d43b31f51eceec5c3080160,科幻世界·中国科幻基石丛书,,科幻,科幻世界,2008-5,重庆出版社,书籍,黑暗森林,,三体Ⅱ,32.00,平装,9.3,170801.0,,470
9789573900641,5d43b31f51eceec5c3080161,倪匡科幻小說集,,科幻,,1981-10,遠景出版社,书籍,倪匡科幻小說集15,,盡頭,NT130,平装,6.4,150.0,,228
