ISBN,_id,丛书,作者,关键词,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9789863553328,5d43ce0051eceec5c3084e52,從前有座靈劍山,國王陛下,修仙,2014-9-16,銘顯文化事業股份有限公司,书籍,上山,,從前有座靈劍山 1,NT$260,平装,7.5,262.0,,313
9787506077323,5d43ce0051eceec5c3084e53,,满城烟火,修仙,2014-11,东方出版社,书籍,,,帝妃无双1,32.00元,平装,8.4,1208.0,,
9783780896599,5d43ce0851eceec5c3084e54,,,修仙,,,书籍,終出昆吾,,凡人修仙傳43,,,,,,
9789863279570,5d43ce0851eceec5c3084e55,,,修仙,,,书籍,,,雙修仙尊04,,,,,,
9789863278894,5d43ce0851eceec5c3084e56,,,修仙,,,书籍,,,雙修仙尊01,,,,,,
9787510860317,5d43ce0851eceec5c3084e57,,,修仙,2017-11,九州出版社,书籍,,,仙途有坑,36.80元,平装,,,,288
9787569900187,5d43ce0951eceec5c3084e58,六爻,Priest,修仙,2019-3,北京时代华文书局,书籍,肆·盛极而衰,,六爻,55.00元,平装,8.9,60.0,,260
9787549827596,5d43ce0951eceec5c3084e59,意林幻青春,时镜,修仙,2016-11-11,吉林摄影出版社,书籍,,,我不成仙一断尘绝念,28.8,平装,8.1,93.0,,288
9789862608609,5d43ce0951eceec5c3084e5a,刀劍蒼穹,姜幻,修仙,2011-3-7,銘顯文化,书籍,,,刀劍蒼穹9·修仙之門,NTD170,平裝,,,,192
9787550015760,5d43ce0951eceec5c3084e5b,,,修仙,2016-3,百花洲文艺出版社,书籍,,,蓬莱走读生（下）,26.80元,平装,,,,272
9787305106446,5d43ce0951eceec5c3084e5c,,,修仙,,,书籍,,,仙路争锋,,,7.9,154.0,,
9789863556251,5d43ce0951eceec5c3084e5d,從前有座靈劍山,國王陛下,修仙,2015-1-13,銘顯文化事業股份有限公司,书籍,星辰,,從前有座靈劍山 6,NT$260,平装,7.4,64.0,,316
9789579578707,5d43ce0951eceec5c3084e5e,神木撓不盡,綠野千鶴,修仙,2018-10-11,威向,书籍,,,神木撓不盡 一,NTD240,平装,8.2,37.0,,272
9789863555421,5d43ce0951eceec5c3084e5f,從前有座靈劍山,國王陛下,修仙,2014-12-16,銘顯文化事業股份有限公司,书籍,山下,,從前有座靈劍山 5,NT$260,平装,7.8,67.0,,320
9789864602872,5d43ce0951eceec5c3084e60,從前有座靈劍山,國王陛下,修仙,2015-11-24,銘顯文化事業股份有限公司,书籍,從前,,從前有座靈劍山 16 (完),NT$260,平装,7.5,129.0,,400
9787506079921,5d43ce0951eceec5c3084e61,,满城烟火,修仙,2015-4-30,东方出版社,书籍,,,帝妃无双2,32,平装,8.3,1125.0,,288
9789862813683,5d43ce0951eceec5c3084e62,仙本純良,正月初四,修仙,2013-4-25,夢田小筑,书籍,,,仙本純良·第一部（全5冊）,NTD1250,平裝,8.5,99.0,,
9789862813638,5d43ce0951eceec5c3084e63,仙本純良,正月初四,修仙,2013-4-11,夢田小筑,书籍,,,仙本純良（第一部）1,NTD250,平裝,7.7,126.0,,320
9787539953038,5d43ce0951eceec5c3084e64,一仙难求,云芨,修仙,2012-6,江苏文艺出版社,书籍,,,一仙难求4、5、6,75.00元,平装,8.1,189.0,,820
9787510448454,5d43ce0951eceec5c3084e65,,禾早,修仙,2014-3,新世界出版社,书籍,,财迷仙窍,陌上君如玉,59.80元,平装,6.8,79.0,,650
9787543690288,5d43ce0951eceec5c3084e66,娥媚,峨嵋,修仙,2013-1,青岛出版社,书籍,,,终结篇-娥媚（全二册）,55.00元,平装,7.5,116.0,,624
